bill_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7
1,optiplex dell sff desktop windows 10 computer 4gb 160gb,dell desktop computerIntel core 2 duo 8gb 1tb hd windows 10 pc 22 lcd wifi,hp 6200 pro core 17 34 ghz quad core 16gb 500gb computer,vintage microsolutions pentium 133mhz desktop tower pc windows 95 525 floppy,dell optiplex 7060 sff computer 8th gen core 15 8gb ddr4 new 240gb ssd dvd,custom gaming pc computer fx 6300 35 ghz 8gb ram 128gb ssd 1tb hdd rx580 4gb,custom build hp desktop computer 16gb 2tb ssd windows 10 windows 7 PC wifi
10,islamic fatawa islamiyah verdicts 8 volume set,sasinowski mlegacy of ra book new,time booksh the old west complete 26 volumes series master index mn853,tumbling caela carter by,how to win friends e influence people,,
2,3d printed mat vortex illusion living floors rug carpet room doors round mat,golden new brown oriental rug 4x6 oushak chobi floral handknotted foyer carpet,yilong 5 5x8 handknotted silk area decor rugs home carpet 790 classic blue pretty,small woman large long floor carpet various area rugs size soft rug,,,
3,holder wine bottle,cuisinart stainless steel electric wine opener cwo25 brand new in the box,,,,,
4,madrid inflatable chair real sg1 6136,marble 60 inches dinning table top inlay work lawn with multi color stones,,,,,
5,clearancei fast dell desktop dual core computer pc windows 418116gb 10 ram,t520 thin client computer hp amd gx212jc 12ghz agb ram tested hread belowih,gaming desktop computer pc,12core gaming computer desktop pc tower affordable gaming pc 8gb amd vega rgb,custom build dell optiplex 9020 95 154570 320ghz mt desktop computer pc,dell optiplex 990 mt computer quad aghz 16gb pc core 17 2tb hd windows 10 pro,dell core 2 duo desktop computer windows xp pro agb 5oogb
6,hp desktop computer pc core 15 16gb 2tb 256gb hd ssd 221 lcd windows 10,custom built amd ryzen threadripper gaming computer 32gb ram,fast dell optiplex desktop pc computer core 3 aghz dual 1tb 10 8gb win pro wifl,dell optiplex 790 computer 17 4 340 250gb ghz quad core agb working,vintage microsolutions pentium 133mhz desktop tower pc windows 95 525 floppy,,
7,15x151 white decorative coffee table top lapis lazuli marguetery patio decor,marble dining table ax2 top pietra dura birds inlay art furniture decors b444 inches,inches marble dining 60 table top hand inlaid garden table with gemstones,,,,
8,thick handmade round warm crochet 97 rug arpet mat acrylic floor décor me,white rug moroccan beni ourain trellis shag area rug authentic handmade carpet,abstract living room carpet  décor nordic style home bedside floor area rug mats,leopard printed skin mat rug leather fur animals faux area rugs home carpet,exquisite durable foot lpc cloth christmas carpet xmas cushion for kitchen,,
9,wild west wine,15l cider press wine fruit apple crusher juice grape stainless maker grapes new,new holder wine rack iron art hanging racks glass stemware shelf mounted 2 color,rust proof three rows tool glass holder simple wine iron wire hanging home rack,vtg 1970s mcm brown steel tube wall desk mounted or 12wine rack bottle holder,,
